taxon,geog_radiation
Hydrophis_lamberti,sea_snakes
Hydrophis_ornatus,sea_snakes
Hydrophis_ocellatus,sea_snakes
Hydrophis_peronii,sea_snakes
Hydrophis_pachycercos,sea_snakes
Hydrophis_bituberculatus,sea_snakes
Hydrophis_kingii,sea_snakes
Hydrophis_macdowelli,sea_snakes
Hydrophis_czeblukovi,sea_snakes
Hydrophis_zweifeli,sea_snakes
Hydrophis_major,sea_snakes
Hydrophis_atriceps,sea_snakes
Hydrophis_fasciatus,sea_snakes
Hydrophis_donaldi,sea_snakes
Hydrophis_obscurus,sea_snakes
Hydrophis_stricticollis,sea_snakes
Hydrophis_platurus,sea_snakes
Hydrophis_schistosus,sea_snakes
Hydrophis_annandalei,sea_snakes
Hydrophis_stokesii,sea_snakes
Hydrophis_brookii,sea_snakes
Hydrophis_curtus,sea_snakes
Hydrophis_elegans,sea_snakes
Hydrophis_parviceps,sea_snakes
Hydrophis_belcheri,sea_snakes
Hydrophis_melanocephalus,sea_snakes
Hydrophis_coggeri,sea_snakes
Hydrophis_pacificus,sea_snakes
Hydrophis_cyanocinctus,sea_snakes
Hydrophis_semperi,sea_snakes
Hydrophis_torquatus,sea_snakes
Hydrophis_caerulescens,sea_snakes
Hydrophis_jerdonii,sea_snakes
Hydrophis_lapemoides,sea_snakes
Hydrophis_viperinus,sea_snakes
Hydrophis_spiralis,sea_snakes
Hydrophis_gracilis,sea_snakes
Hydrelaps_darwiniensis,sea_snakes
Ephalophis_greyae,sea_snakes
Parahydrophis_mertoni,sea_snakes
Aipysurus_foliosquama,sea_snakes
Aipysurus_pooleorum,sea_snakes
Aipysurus_apraefrontalis,sea_snakes
Aipysurus_duboisii,sea_snakes
Aipysurus_fuscus,sea_snakes
Aipysurus_tenuis,sea_snakes
Aipysurus_laevis,sea_snakes
Aipysurus_eydouxii,sea_snakes
Aipysurus_mosaicus,sea_snakes
Emydocephalus_annulatus,sea_snakes
Hemiaspis_damelii,australo_papuan
Hemiaspis_signata,australo_papuan
Austrelaps_labialis,australo_papuan
Austrelaps_superbus,australo_papuan
Tropidechis_carinatus,australo_papuan
Notechis_scutatus,australo_papuan
Hoplocephalus_bungaroides,australo_papuan
Hoplocephalus_bitorquatus,australo_papuan
Paroplocephalus_atriceps,australo_papuan
Drysdalia_mastersii,australo_papuan
Drysdalia_coronoides,australo_papuan
Drysdalia_rhodogaster,australo_papuan
Suta_nigriceps,australo_papuan
Echiopsis_curta,australo_papuan
Suta_spectabilis,australo_papuan
Suta_gouldii,australo_papuan
Suta_suta,australo_papuan
Suta_fasciata,australo_papuan
Suta_punctata,australo_papuan
Suta_monachus,australo_papuan
Rhinoplocephalus_bicolor,australo_papuan
Cryptophis_nigrescens,australo_papuan
Elapognathus_coronatus,australo_papuan
Denisonia_devisi,australo_papuan
Pseudechis_australis,australo_papuan
Pseudechis_pailsei,australo_papuan
Pseudechis_weigeli,australo_papuan
Pseudechis_rossignolii,australo_papuan
Pseudechis_butleri,australo_papuan
Pseudechis_colletti,australo_papuan
Pseudechis_guttatus,australo_papuan
Pseudechis_papuanus,australo_papuan
Pseudechis_porphyriacus,australo_papuan
Acanthophis_antarcticus,australo_papuan
Acanthophis_rugosus,australo_papuan
Acanthophis_hawkei,australo_papuan
Acanthophis_praelongus,australo_papuan
Acanthophis_cryptamydros,australo_papuan
Acanthophis_pyrrhus,australo_papuan
Acanthophis_wellsi,australo_papuan
Acanthophis_laevis,australo_papuan
Pseudonaja_nuchalis,australo_papuan
Pseudonaja_mengdeni,australo_papuan
Pseudonaja_inframacula,australo_papuan
Pseudonaja_affinis,australo_papuan
Pseudonaja_textilis,australo_papuan
Pseudonaja_ingrami,australo_papuan
Pseudonaja_modesta,australo_papuan
Pseudonaja_guttata,australo_papuan
Oxyuranus_scutellatus,australo_papuan
Oxyuranus_microlepidotus,australo_papuan
Oxyuranus_temporalis,australo_papuan
Brachyurophis_incinctus,australo_papuan
Brachyurophis_morrisi,australo_papuan
Brachyurophis_roperi,australo_papuan
Brachyurophis_australis,australo_papuan
Brachyurophis_semifasciatus,australo_papuan
Brachyurophis_approximans,australo_papuan
Brachyurophis_fasciolatus,australo_papuan
Narophis_bimaculatus,australo_papuan
Neelaps_calonotus,australo_papuan
Vermicella_intermedia,australo_papuan
Vermicella_multifasciata,australo_papuan
Vermicella_parscauda,australo_papuan
Vermicella_annulata,australo_papuan
Vermicella_vermiformis,australo_papuan
Vermicella_snelli,australo_papuan
Simoselaps_anomalus,australo_papuan
Simoselaps_minimus,australo_papuan
Simoselaps_bertholdi,australo_papuan
Simoselaps_littoralis,australo_papuan
Demansia_vestigiata,australo_papuan
Demansia_papuensis,australo_papuan
Demansia_psammophis,australo_papuan
Aspidomorphus_lineaticollis,australo_papuan
Aspidomorphus_muelleri,australo_papuan
Aspidomorphus_schlegelii,australo_papuan
Furina_diadema,australo_papuan
Furina_ornata,australo_papuan
Cacophis_squamulosus,australo_papuan
